OSM_ID;BUILDING;A_STRT;A_SBRB;A_HSNMBR;B_LEVELS;NAME
92033642;yes;улица Тази Гиззата;;26 к1;;
91856617;yes;;;;;
220006804;yes;Большая Красная улица;;51 к1;;
157683931;yes;;;;;
99038795;yes;улица Пушкина;;13/50;4;
104528792;apartments;Катановский переулок;;2А;;
173332941;yes;улица Гоголя;;4;2;
157683897;yes;улица Парижской Коммуны;;18 к1;;
143058762;yes;улица Баумана;;48;3;Большой драматический театр имени В. И. Качалова
111719060;yes;улица Тельмана;;26;;
83087730;university;Кремлёвская улица;;35;17;2-й корпус КФУ
104277482;yes;улица Бутлерова;;31;;
500009585;yes;;;;;
121535856;yes;улица Островского;;8/1;4;
104528785;apartments;Катановский переулок;;2;;
90178091;yes;улица Чернышевского;;5;;
83087733;yes;Кремлёвская улица;;35 к1;4;Научная библиотека им. Н. И. Лобачевского КФУ
225814375;yes;улица Нариманова;;14;3;
115079089;yes;улица Карла Маркса;;49А;2;
97554004;yes;улица Пушкина;;4;2;
191025379;apartments;улица Ульянова-Ленина;;19;;
243016969;yes;;;;;
157683923;yes;улица Михаила Худякова;;7 лит9;;
241601222;yes;улица Миславского;;13;2;
91856601;yes;;;;;
173332932;college;улица Гоголя;;2;2;
107060369;yes;;;;;
90251801;yes;;;;2;
111719079;yes;улица Тельмана;;24;;
90178075;yes;улица Миславского;;8/1;2;
90155408;yes;улица Рустема Яхина;;4Б;;
104536098;kindergarten;улица Ульянова-Ленина;;27;;ДОУ №189
91856625;yes;улица Лобачевского;;6;2;
90251761;yes;Большая Красная улица;;3;5;
231904977;yes;улица Тельмана;;17;;
362047239;yes;;;;;
105336438;apartments;Университетская улица;;12;4;
362047241;yes;;;;;
104424243;yes;улица Карла Маркса;;56/11;2;
157683906;yes;улица Михаила Худякова;;3;3;
454313149;yes;;;;;
378370848;residential;улица Лобачевского;;6;;
91856467;residential;улица Лобачевского;;8;;
143058761;yes;улица Кави Наджми;;3/9;;
104528777;yes;улица Бутлерова;;30;;Дом ученых
105155999;yes;улица Чернышевского;;2;3;
99038792;yes;улица Пушкина;;11;3;
115079093;yes;улица Карла Маркса;;49/13;2;
240803569;yes;Право-Булачная улица;;39/2;6;
91856584;yes;Университетская улица;;13;2;
119437959;yes;Московская улица;;64;2;
91641075;yes;Московская улица;;3;;Пирамида
111719097;yes;улица Касаткина;;25;;
90178071;yes;улица Баумана;;11;;
98534754;detached;Федосеевская улица;;31;;
158263521;yes;;;;;
301911375;yes;;;;;
111719073;yes;улица Касаткина;;31;;
104280736;yes;улица Маяковского;;26;;
90178080;yes;улица Карла Маркса;;9/15;2;
90178069;yes;улица Дзержинского;;6;3;
91856523;yes;;;;;
98534767;detached;;;;;
129285213;yes;;;;;
444741608;yes;;;;;
91856473;yes;Большая Красная улица;;23;;Управление ФСБ по РТ
104281618;yes;улица Щапова;;37;3;Театр Акт
105301849;yes;улица Николая Столбова;;1;;
251752738;school;улица Миславского;;8А/1;3;Академический лицей
98534763;detached;;;;;
91856466;yes;улица Карла Маркса;;32;;
111719053;yes;улица Касаткина;;11;;
378555515;construction;;;;;
233610520;yes;;;;1;
362047228;yes;;;;;
444741609;yes;;;;;Сувениры
81560113;yes;улица Рустема Яхина;;4;3;Московский
-1327402;university;Кремлёвская улица;;4/5;2;Институт геологии и нефтегазовых технологий КФУ
104280737;yes;улица Щапова;;18А;;
90178032;yes;улица Баумана;;13;;
98534711;detached;улица Набережная Казанки;;3;;
104280739;yes;улица Маяковского;;24;;
231904976;yes;улица Тельмана;;15;;
444741610;yes;;;;;
104424232;yes;улица Горького;;19/8;6;
111719078;yes;улица Касаткина;;19;2;
313340475;yes;улица Островского;;47;1;ХороShow
158178408;yes;;;;;
106312175;yes;;;;3;
362047233;yes;;;;;
89917026;yes;улица Карла Маркса;;29/14;2;
104528790;yes;улица Бутлерова;;30А;4;
97553999;yes;;;;2;
81560002;apartments;улица Гаяза Исхаки;;1;5;
104281617;yes;улица Щапова;;18;4;
130828016;yes;Большая Красная улица;;14/17;4;
81559980;yes;улица Бурхана Шахиди;;2/43;4;
105336374;yes;Профсоюзная улица;;23/12;2;
115079095;yes;Большая Красная улица;;53;2;
344547471;yes;;;;2;
92033651;yes;улица Чернышевского;;36/14;3;
104229355;school;улица Волкова;;3;3;
194903069;yes;;;;2;
220006794;yes;;;;;
111719061;yes;улица Тельмана;;18;;
313937145;yes;;;;1;
104277477;yes;улица Маяковского;;19;2;
240896545;yes;;;;;
90155348;yes;;;;;
143056751;yes;улица Островского;;10;3;
91856502;yes;улица Дзержинского;;27;4;
90251758;yes;;;;1;
106312164;yes;Лево-Булачная улица;;46;3;
115079109;yes;улица Гоголя;;15;4;
227222885;yes;улица Лобачевского;;10;;
253055367;yes;;;;;
444741611;yes;;;;;
281788820;yes;улица Мусы Джалиля;;14А;;
158178406;yes;;;;;
89916745;yes;Большая Красная улица;;34/16;;Баня №3
119437976;yes;Московская улица;;66А;;
157683911;yes;;;;;
182148883;yes;;;;;
104528795;apartments;Катановский переулок;;11;;
115079088;yes;улица Гоголя;;25А;5;
444741612;yes;;;;;
90178068;yes;улица Мусы Джалиля;;;;
97554008;yes;;;;;
416784474;yes;;;;;
105336425;commercial;Университетская улица;;14;3;
444741613;yes;;;;;
90178099;yes;улица Дзержинского;;1/8 лит3;2;
449595823;yes;улица Дзержинского;;3;2;
115079107;yes;улица Гоголя;;21;;
157683898;yes;;;;;
91856595;yes;улица Лобачевского;;10В;5;
94695638;apartments;Катановский переулок;;9;;
158263519;yes;улица Саммера;;6;;
104528794;yes;Катановский переулок;;4;;
173332929;yes;улица Гоголя;;10;;
115079084;yes;улица Гоголя;;27А;;
449595824;yes;;;;1;
92033632;yes;улица Чернышевского;;43А;;
362047227;yes;;;;;
361285696;yes;;;;4;
330888927;yes;Ямская улица;;3;;
-3974312;yes;Большая Красная улица;;3 к1;;Надвратная церковь в честь святых мучениц Веры, Надежды, Любови и матери их Софии
450643412;yes;;;;;
119437989;yes;улица Парижской Коммуны;;14;;
105336389;yes;Университетская улица;;14А;;
191025382;apartments;улица Ульянова-Ленина;;23;;
105301835;yes;улица Галиаскара Камала;;1/48;2;
106312151;yes;улица Галиаскара Камала;;2;3;
111719071;yes;улица Касаткина;;24;;
115079108;yes;улица Гоголя;;21А;4;
91856626;university;улица Карла Маркса;;10;3;КНИТУ-КАИ им. А. Н. Туполева, 1 здание
104277478;yes;;;;;
87007646;university;Кремлёвская улица;;37;3;
104277487;yes;улица Бутлерова;;35;5;
90178098;church;улица Мусы Джалиля;;21;2;Петропавловский собор
91856651;residential;;;;3;
362047240;yes;;;;;
97553998;yes;улица Островского;;51;1;
450643429;yes;;;;2;
309215865;yes;;;;;
305285612;yes;улица Касаткина;;20А;;
157683908;yes;;;;;
281847550;yes;;;;7;
111719077;yes;улица Касаткина;;17;2;
378326125;yes;;;;1;
90155341;yes;;;;;
105155494;yes;Кремлёвская улица;;11;;
173581614;yes;улица Гоголя;;19;3;
105336402;hotel;Университетская улица;;16;;Хаял
104424218;yes;улица Карла Маркса;;58;5;
90178019;yes;Профсоюзная улица;;10;;
104280734;yes;улица Маяковского;;24А;;
194234840;yes;улица Щапова;;20;2;музей Баки Урманче
98534712;detached;Федосеевская улица;;35;;
163851046;yes;улица Горького;;19;;
378326116;yes;улица Дзержинского;;29;5;
273244398;house;улица Баумана;;15;;
91641069;yes;Московская улица;;5;5;
111719087;yes;улица Касаткина;;15А;6;
98534775;detached;;;;;
186036842;yes;;;;2;
330336351;yes;улица Тази Гиззата;;23 к1;;
157683918;yes;;;;;
98534724;detached;улица Набережная Казанки;;1;;
173325472;yes;улица Карла Маркса;;51/14;1;
89917028;yes;;;;2;
324744805;yes;;;;;
108249756;yes;улица Парижской Коммуны;;19;;
143058889;yes;улица Кави Наджми;;5;;
91856492;yes;;;;;
92033662;yes;улица Нариманова;;13А;;
191859809;yes;улица Ульянова-Ленина;;16;;
356634503;yes;;;;;
272520434;yes;улица Парижской Коммуны;;12;;
105336381;yes;Профсоюзная улица;;25;3;
233640864;yes;улица Касаткина;;11;11;
105301858;yes;Лево-Булачная улица;;48;2;
91856548;yes;;;;;
97554001;yes;;;;4;
104528788;apartments;улица Маяковского;;5;;
105155493;yes;улица Дзержинского;;8;3;
252951799;yes;улица Карла Маркса;;;2;
323476759;yes;Московская улица;;66;;
115079100;yes;улица Гоголя;;23А;3;
115079086;yes;улица Гоголя;;25;3;
483702186;cathedral;;;;;Собор Казанской иконы Божией Матери
356634502;yes;;;;;Котельная
431878440;yes;;;;;
323945647;yes;;;;;
143056761;yes;Право-Булачная улица;;41;2;
367624972;yes;;;;;
90178023;yes;улица Дзержинского;;3А;2;
111719094;yes;улица Касаткина;;22;;
143057303;yes;улица Островского;;11;2;
91856637;yes;Большая Красная улица;;23;4;
277633806;yes;;;;;
98534750;detached;;;;;
234307935;retail;Ямская улица;;6;;Рынок Ямская
104277489;yes;улица Маяковского;;17;;
259799289;supermarket;Петербургская улица;;1;5;Кольцо
104280740;yes;улица Щапова;;20А;2;
330888926;yes;улица Тази Гиззата;;23;;
90251751;yes;;;;;
115079103;yes;улица Гоголя;;27;3;
273244400;house;улица Баумана;;17;;
191859810;yes;улица Ульянова-Ленина;;20;;
252951804;yes;;;;;
92033625;yes;улица Нариманова;;13;;Хлебо-бараночный комбинат
428303354;yes;;;;;
251709128;yes;улица Ульянова-Ленина;;41;;
115079117;yes;улица Гоголя;;16;4;
105151284;yes;Профсоюзная улица;;5;;
428303374;yes;;;;;
-2108478;yes;Московская улица;;70;;
-3974311;yes;Большая Красная улица;;5;;Крестовоздвиженский собор
91856471;yes;;;;1;
157683913;yes;;;;;
105336372;yes;;;;;
75616907;university;улица Карла Маркса;;31;5;КНИТУ-КАИ им. А. Н. Туполева, 5 здание
104280738;yes;улица Бутлерова;;34/13;2;
223118102;yes;улица Карла Маркса;;36;3;
90251709;yes;Федосеевская улица;;40;;
252951808;yes;;;;;
91856537;yes;;;;;
89534269;yes;;;;2;ПС Новокремлевская
111719102;yes;улица Касаткина;;15;3;
97554009;yes;улица Островского;;53;4;
195679870;detached;улица Щепкина;;3;;
105155488;yes;Кремлёвская улица;;13;;
158178391;yes;улица Тази Гиззата;;29А;;
361285697;yes;;;;;
173581615;yes;улица Гоголя;;29;;
90251812;yes;;;;3;
252951803;yes;улица Миславского;;14;2;
180852553;yes;улица Щапова;;20;8;
233640863;yes;;;;;
256433302;yes;улица Татарстан;;18;9;
157683920;yes;;;;2;
105336416;yes;улица Пушкина;;15;4;
143058764;yes;улица Баумана;;50;;
412751398;yes;;;;;
105336420;yes;Университетская улица;;20;;
220006809;yes;улица Тельмана;;5;;
143056765;hotel;Право-Булачная улица;;43/1;6;Ibis Казань
143057304;yes;улица Кави Наджми;;8;;
220006805;yes;улица Дзержинского;;5;6;
415785567;yes;;;;;
157683894;yes;Московская улица;;72;2;
92033641;yes;;;;;
105301873;yes;Московская улица;;55;5;
169196640;yes;Большая Красная улица;;36А;5;
421303577;yes;Профсоюзная улица;;12;;
98534737;detached;Федосеевская улица;;39;;
158178394;yes;Ямская улица;;11;;
105301865;yes;;;;;
-1936653;yes;улица Баумана;;52;;
371347921;detached;улица Набережная Казанки;;1А;;
224607482;yes;улица Рустема Яхина;;2Б;;
-1494230;school;улица Рахматуллина;;2/18;;Лицей им. Н.И. Лобачевского
252951809;yes;улица Карла Маркса;;11/12;2;
90251805;yes;;;;;
378326098;yes;;;;1;
98534778;detached;улица Набережная Казанки;;1;;
91856588;yes;Театральная улица;;1/27;3;
143057311;yes;улица Кави Наджми;;8А;;
91641022;yes;;;;;
105336360;yes;улица Пушкина;;17;4;
90178090;yes;Профсоюзная улица;;11;;
421303578;yes;Профсоюзная улица;;14;;
378326099;yes;;;;1;
143058176;yes;улица Кави Наджми;;8 к1;;
157683932;yes;улица Парижской Коммуны;;10;2;
111719066;yes;улица Касаткина;;20;;
385963748;yes;улица Баумана;;19;4;Ногай
428303337;yes;;;;;
252951798;yes;Большая Красная улица;;16;3;
390829214;commercial;улица Островского;;55;4;
224607476;yes;Московская улица;;11;3;
91856474;yes;;;;;
387599328;construction;;;;3;
91856552;yes;;;;;
108249746;yes;улица Парижской Коммуны;;17;;
105155489;yes;улица Дзержинского;;10;4;
360451686;yes;улица Бурхана Шахиди;;7;2;
90155414;yes;улица Рустема Яхина;;3;;
105336427;yes;Университетская улица;;22;;
428303391;yes;;;;;
421303579;yes;Профсоюзная улица;;16;;
186429139;yes;улица Кави Наджми;;10;;
90155413;yes;Московская улица;;2А;;
252951801;yes;;;;;
91856520;hotel;Театральная улица;;3;5;
-7044181;yes;;;;;
105336445;yes;;;;;
415785570;yes;;;;;
223118104;yes;Театральная улица;;5;4;
87008789;yes;улица Профессора Нужина;;2;3;Уникс
105336419;yes;улица Пушкина;;19;;ТЦ Призма
105151248;yes;Профсоюзная улица;;7;;
223118103;yes;улица Карла Маркса;;38;3;
479025591;yes;;;;;
241929086;yes;;;;5;
90251732;yes;;;;;
143056764;yes;Астрономическая улица;;3/16;5;
252951797;yes;улица Карла Маркса;;13;2;
91641091;yes;;;;;
361285698;yes;улица Островского;;12;2;
367665408;yes;;;;;
105301868;yes;;;;;
91856557;yes;Большая Красная улица;;29;;
479025593;yes;;;;;Восточный корпус пушечного двора
305285613;yes;;;;;
287272166;yes;Профсоюзная улица;;16А;;
402643402;yes;улица Пушкина;;21А;;
252951802;yes;;;;;
91856479;yes;;;;;
91856641;yes;Большая Красная улица;;18;4;Общежитие №2 КНИТУ-КАИ
229212860;yes;;;;;
241601238;yes;;;;;
273251483;yes;улица Островского;;57А;3;
105301863;yes;Лево-Булачная улица;;52 к7;;
105301855;yes;улица Николая Столбова;;2;;
91856525;yes;;;;;
92033648;yes;улица Нариманова;;15;;Шушма
401331125;construction;улица Дзержинского;;7;;
90155357;yes;Московская улица;;13;3;
108249754;yes;улица Парижской Коммуны;;15;;
90161998;yes;проезд Шейнкмана;;;2;Северный корпус пушечного двора
227222925;commercial;улица Пушкина;;21;;
321416173;yes;;;;;
90251741;yes;;;;;
252951806;yes;;;;;
295851861;yes;Федосеевская улица;;38;;
61111622;castle_tower;;;;4;Безымянная башня
97554010;yes;Петербургская улица;;12;3;Министерство по делам молодежи и спорту
143056755;yes;улица Островского;;14;2;
91856477;yes;Театральная улица;;13А;;
158178407;yes;улица Мартына Межлаука;;28;;
105301860;yes;;;;;
81560120;yes;улица Бурхана Шахиди;;9А;2;
61111625;castle_tower;;;;2;Тайницкая башня
273251479;yes;улица Островского;;57В;3;
143057306;yes;улица Островского;;15;2;
90251821;yes;Большая Красная улица;;5А;2;
105151243;yes;улица Рахматуллина;;4;;
227222886;commercial;;;;;
90251804;yes;Нагорная улица;;6А;;
133487367;yes;Право-Булачная улица;;45;4;
105336357;commercial;улица Пушкина;;23;;
182148882;commercial;;;;;
378370861;yes;;;;;
105155491;yes;Кремлёвская улица;;15/25;;
224607477;yes;Московская улица;;13А;3;
105301867;yes;;;;;
92033660;yes;;;;;
104230734;yes;Кремлёвская улица;;6/20;;
135906487;yes;улица Пушкина;;29А;3;Колизей
90162067;yes;;;;;
91856545;yes;улица Карла Маркса;;15;2;
92033655;yes;улица Нариманова;;15А;;
272547489;yes;улица Бурхана Шахиди;;9В;;
479025594;yes;;;;;
233640862;yes;улица Касаткина;;11А;10;
143058173;yes;улица Баумана;;54;;
90161987;yes;;;;;Южный корпус пушечного двора
105336442;commercial;улица Пушкина;;25;;
240476451;yes;улица Нариманова;;15 к1;;
90178048;yes;;;;;
105301841;yes;Лево-Булачная улица;;50;;
105301838;yes;Лево-Булачная улица;;50;3;
217674977;yes;;;;2;
90155396;school;Лево-Булачная улица;;14А;4;
236736828;yes;;;;;
89918690;yes;Большая Красная улица;;29А;5;
91856566;yes;Большая Красная улица;;18А;;
321416172;yes;;;;;
273251481;yes;улица Островского;;57Б;3;
131390384;yes;улица Тази Гиззата;;19;;Милена
182148887;yes;улица Пушкина;;29В;;Лапшон
75658002;yes;площадь Свободы;;2;7;Театр оперы и балета им. М. Джалиля
322508780;yes;;;;;
360451772;yes;улица Гаяза Исхаки;;8;5;
90161959;yes;;;;;
299866594;yes;;;;;
105155490;yes;улица Дзержинского;;12/25;;
108249744;mosque;Московская улица;;74;3;Мечеть Нурулла
401328394;yes;улица Дзержинского;;9/1;5;
90251725;yes;Федосеевская улица;;3;;
158178405;yes;улица Мартына Межлаука;;28А;;
182148881;commercial;улица Пушкина;;29 литА;2;
105151249;yes;Профсоюзная улица;;9;;
92033646;yes;улица Тази Гиззата;;18;;
194903272;yes;улица Островского;;16/3;2;
479025582;yes;;;;;
105336364;commercial;улица Пушкина;;8;9;
143058175;yes;улица Баумана;;56;;
90251707;yes;Нагорная улица;;6;2;
90155412;yes;Московская улица;;15;3;
105301851;yes;улица Парижской Коммуны;;8;2;
104230530;yes;улица Рахматуллина;;1;;
240476452;yes;улица Нариманова;;15Б;;
105336349;yes;улица Пушкина;;10;3;
77216515;yes;улица Пушкина;;31;3;
225812758;yes;улица Чернышевского;;39;5;
105301852;yes;Лево-Булачная улица;;50А;;
77216509;yes;улица Пушкина;;31А;1;
273251477;yes;улица Островского;;57Г;3;
105336400;roof;;;;2;
225812749;yes;;;;;
91856612;yes;улица Дзержинского;;9;;
283579744;yes;улица Бурхана Шахиди;;9В;;
108249750;apartments;улица Татарстан;;16;5;
90251770;dormitory;улица Япеева;;9;4;Общежитие №1 КНИТУ-КАИ
105336430;commercial;улица Пушкина;;12;4;
81560027;yes;улица Бурхана Шахиди;;9;1;
98644302;yes;;;;;
90178054;yes;улица Рахматуллина;;6/9;;
90161988;yes;проезд Шейнкмана;;14;2;Главный корпус пушечного двора
90251754;yes;Федосеевская улица;;42;;
105301875;yes;улица Парижской Коммуны;;13;2;
81560086;yes;улица Тази Гиззата;;15;;
90155372;yes;улица Чернышевского;;30Б;;
-1553746;yes;Астрономическая улица;;5/19;;
224607479;yes;Московская улица;;17;3;
105336343;commercial;улица Пушкина;;14;3;
90251749;yes;Нагорная улица;;29;5;
220383031;yes;улица Островского;;61;;
143058174;yes;улица Баумана;;58;3;
133487370;yes;Право-Булачная улица;;47;;
89918691;yes;Театральная улица;;13;;
90251796;yes;улица Япеева;;9Б;3;
90155380;yes;Лево-Булачная улица;;16;;
105301870;yes;Лево-Булачная улица;;52;;
105301845;yes;;;;2;
400925474;yes;улица Пушкина;;16;3;
96259267;hotel;Петербургская улица;;1;5;
330332829;yes;улица Островского;;20;2;
220006800;yes;;;;;
224607478;yes;Московская улица;;15А;;
90251786;yes;;;;1;
176439870;residential;улица Островского;;59;6;
360664185;yes;улица Островского;;18;2;
91856472;church;улица Япеева;;5;2;Надвратная церковь
97554006;yes;Петербургская улица;;14;4;
90155370;yes;улица Чернышевского;;30;;
105336432;yes;;;;;
104225066;yes;улица Пушкина;;18;3;Третейский суд при Торгово-промышленной палате Республики Татарстан
105301848;yes;Московская улица;;57А;2;
119437956;yes;Профсоюзная улица;;20/14;;
158175984;yes;улица Мартына Межлаука;;37;;
119437963;yes;улица Баумана;;21;;
86982233;yes;улица Ташаяк;;;;Крытый футбольно-легкоатлетический манеж
227222927;commercial;улица Пушкина;;20;;
91856623;yes;Кремлёвская улица;;17;5;Александровский пассаж
103455115;yes;улица Пушкина;;38;3;
334801914;yes;улица Чернышевского;;28А;;
225814379;yes;;;;;
81560019;yes;Московская улица;;21;5;
240476470;yes;;;;;
113954867;yes;улица Пушкина;;22;;Промсвязьбанк
158175981;yes;улица Мартына Межлаука;;35;;
225814383;yes;улица Бурхана Шахиди;;11;2;
271051857;yes;улица Николая Столбова;;7;;
113954868;yes;улица Пушкина;;24;3;
104231618;yes;улица Рахматуллина;;3;;
90155386;yes;улица Чернышевского;;35/1;;
230132591;mosque;Кремль;;13;;Кул-Шариф
105336446;commercial;улица Пушкина;;8А;4;
90251713;school;улица Япеева;;11;2;Школа №39
-2509289;yes;улица Баумана;;23;;
182148886;yes;улица Пушкина;;28;;
334801913;yes;улица Чернышевского;;22;;
111719090;yes;улица Пушкина;;37;;
478262823;roof;проезд Шейнкмана;;;;Стеклянная крыша над мавзолеем ханов
274204998;yes;улица Бурхана Шахиди;;26;;
417013728;yes;;;;;
105301839;yes;улица Николая Столбова;;11;;
103455149;yes;улица Пушкина;;30;;
105301854;yes;улица Татарстан;;14/59;5;
-6303303;yes;проезд Шейнкмана;;12;3;Юнкерское училище
105301862;yes;улица Татарстан;;14/59;;
119437961;yes;;;;;
90161960;yes;;;1А;;Музей истории государственности Татарстана
105336393;yes;;;;;
360664710;yes;Астрономическая улица;;6/18;1;
91645235;yes;улица Пушкина;;86;5;НКЦ
81560073;yes;улица Гаяза Исхаки;;13;;
90155344;yes;улица Чернышевского;;35;;
158175979;yes;улица Нариманова;;40Б;;
91856571;yes;площадь Свободы;;1;9;Госсовет РТ
91641029;yes;;;;;
91641079;yes;;;;2;
81560075;yes;улица Мартына Межлаука;;20А;;
228963085;yes;;;17;1;Башня Сююмбике
143057860;yes;улица Баумана;;58А;2;
81560041;yes;Лево-Булачная улица;;20;;
119437958;yes;;;;;
240476454;yes;улица Нариманова;;36;;
183461626;yes;;;;1;
186429140;yes;Астрономическая улица;;7;3;
105336355;yes;улица Щапова;;1;;Кроличья нора
105301861;yes;;;;8;
428303390;yes;;;;;
398643149;yes;улица Нариманова;;25;1;
91856469;yes;;;;3;
105301830;yes;улица Парижской Коммуны;;6;;
321420898;yes;;;;;
280851129;yes;;;;2;
90251746;yes;;;;3;
91641090;yes;Московская улица;;22А;;
92033663;yes;улица Мартына Межлаука;;22;;
367667773;yes;;;;;
103455143;yes;улица Пушкина;;40;;
103455142;yes;;;;;
